FREN|15002|Elementary French in Paris
NEAA|20051|Method/Theory in Near Eastern Archaeology
ARTV|10200|Visual Language-2
SOSC|12300|Self, Culture And Society-3
SOCI|20105|Educ Organization/Social Inequality
ARTV|10100|Visual Language: On Images
GRMN|10100|Elementary German For Beginners-1
ECON|20210|Elements of Economics Analysis 3-HONORS
HIST|16700|Anc Mediterr World-1: Greece
SOSC|14200|Mind-2
SPAN|20300|Language History Culture-3
PLSC|26601|Democracy, Disobedience and Resistance
LING|37920|Laboratory Methods in Sign Language and Gesture
MOGK|10200|Accel Elem Modern Greek-2
PBPL|25630|Poverty, Work, and Family Policy
MUSI|28000|Orchestral Conducting (UG)
CMSC|16100|Honors Intro To Comp Sci-1
HIST|22104|Colloq: Thinking/Acting Race in Europe
ENST|23289|Marine Ecology
ASTR|28200|Current Topics Astrophysics
TURK|20103|Intermediate Turkish-3
ECON|20300|Elements of Economic Analysis-4
ECON|20000|Elements of Economic Analysis I
LAWS|63312|Workshop: Regulation of Family, Sex, and Gender
SOSC|11100|Power, Identity, Resistance-1
HUMA|19100|Humanities Writing Seminars
CHIN|15009|Intermediate Chinese in Hong Kong
SOSC|11200|Power, Identity, Resistance-2
SOCI|20103|Social Stratification
MATH|11200|Studies In Mathematics
CMSC|22010|Digital Fabrication
SOSC|12100|Self, Culture And Society-1
NEHC|20679|Islam and the Armenians: Paradigms of Medieval Interactions
SOSC|19028|Jerusalem in Middle Eastern Civilizations-1
ARAB|10102|Elementary Arabic-2
SLAV|20009|Occidentalism: Russian Mythologies of the West
SOSC|11100|Power, Identity & Resistance-1
SOSC|11100|Power, Identity, Resistance-1
HUMA|18000|Poetry & The Human - I
SOSC|11300|Power, Identity, Resistance-3
FREN|20200|Language History Culture-2
NEHC|20602|Islamic Thought & Literature-2
PSYC|20000|Fundamentals Of Psychology
POLI|20200|Second-Year Polish-2
JAPN|20100|Intermediate Modern Japanese-1
ANTH|21406|Celeb/Sci Paleoanthropology
ARAB|10103|Elementary Arabic-3
SOSC|11100|Power, Identity, Resistance-1
TAPS|23600|Improv and Sketch
CMSC|27100|Discrete Mathematics
CRPC|24001|Colonizations-1
MATH|16200|Honors Calculus-2
YDDH|10100|Elementary Yiddish for Beginners-I
PBPL|20000|Economics for Public Policy
RUSS|10103|First-Year Russian-1
NEHC|20503|Islamic History & Society-3:The Modern Middle East
CLCV|29800|B.A. Paper Colloquium: Clcv
ECON|22200|Topics: American History
LGLN|22300|Elementary Georgian-3
HUMA|19100|Humanities Writing Seminars
PBPL|25700|The Other Chicago
GRMN|10003|Intensive Introductory German-1
MATH|16200|Honors Calculus-2
HUMA|19100|Humanities Writing Seminars
PORT|12200|Portuguese For Spanish Speaker
MAPS|34500|Anthropology Of Museums-1
BUSV|29001|Marketing (Summer Scholars)
ECON|25000|Introduction To Finance
CMST|10100|Introduction to Film-1
SOSC|15200|Classics Soc/Polit Thought-2
FREN|20504|ECRIRE EN FRANCAIS A PARIS
FREN|20100|Language History Culture-1
MATH|15200|Calculus-2
MUSI|29500|Undergraduate Ba Seminar
PLSC|28710|Democracy and the Politics of Wealth Redistribution
ENST|27201|Food Security and Agriculture: Calumet
ECON|20010|Elements of Economics Analysis 1: Honors
BIBL|31000|Introduction to the Hebrew Bible: Jewish Thought and Literature
SOSC|12300|Self, Culture And Society-3
RLST|29900|Ba Paper Seminar-2: Rlst
HUMA|12300|Human Being And Citizen-1
SPAN|20200|Language History Culture-2
CMLT|23400|War Creations: Ideology, WW II, and the Novel
PHIL|25901|Topics in Contemporary European Thought
CMLT|24200|The 19th-Century Realist Novel
SOSC|12200|Self, Culture And Society-2
SOSC|15100|Classics Soc/Polit Thought-1
MUSI|27300|Tpcs: Hist Of Western Music-3
PLSC|22515|Political Nature of American Judicial System
NEHC|20503|Islamic History & Society-3:The Modern Middle East
CHIN|10200|Elementary Modern Chinese-2
SPAN|10300|Beginning Elementary Spanish-3
NEHC|20630|Introduction to Islamic Philosophy
SOSC|14300|Mind-3
PLSC|22710|Electoral Politics In America
TAPS|10300|Text and Performance
GRMN|15002|Elementary German in Vienna
ECON|20600|Economics of Information
SOSC|13300|Social Sciences Inquiry - 3
HEBR|10101|Elementary Classical Hebrew-1
LACS|29001|Authoritarianisms in Latin America: Theory and Practice
ECON|23210|Topics in Applied Macroeconomics
HEBR|30503|Advanced Modern Hebrew-3
ECON|20900|Intro To Econometrics: Honors
MUSI|17012|University Wind Ensemble
ENST|21320|Readings in Political Ecology
HIST|24802|Gender & Japanese History
SOSC|19045|Middle Eastern Civilizations in Istanbul-3
ENST|27100|Integrative Research Seminar: Calumet
CRWR|10351|Honors Beginning Poetry Writing: Sound, Music, Depth
CRWR|10205|Fundamentals of Fiction
MATH|26300|Elem Algebraic Topology
ECON|21000|Econometrics A
SWAH|25300|Swahili-2
HIST|20209|An Environmental History of Africa, 1800-2016
ARME|10102|Elementary Modern Armenian-2
SOSC|11100|Power, Identity, Resistance-1
SUMR|10103|Elementary Sumerian-3
CRES|29800|B. A. Colloquium
LACS|22503|Elementary Haitian Kreyol III
NORW|10200|Elementary Norwegian-2
SOSC|12300|Self, Culture And Society-3
ENGL|16202|Spenser
ENGL|25307|Sensibility, Sensation, Sexuality
NEHC|20501|Islamic History & Society-1: The Rise of Islam & the Caliphate
CZEC|20300|Intermediate Czech-3
MUSI|15100|Harmony And Voice Leading-1
ARTH|16100|Art of The East: China
SALC|29700|Intro to Buddhism
PHIL|21505|Wonder, Magic, and Skepticism
CMST|28500|History of Intl Cinema-1
ECON|20100|Elements Of Econ Analysis-2
LATN|10006|Intensive Introductory Latin-2
MATH|20400|Analysis In Rn-2
SOSC|11300|Power, Identity, Resistance-3
ARAB|20102|Intermediate Arabic-2
PERS|20102|Intermediate Persian-2
ARTV|22200|Introduction to Sculpture
ECON|20000|Elements Of Econ Analysis-1
PHYS|14100|Honors Mechanics
KORE|10100|Intro To Korean Language-1
SOSC|14300|Mind-3
CLCV|28300|The Ephron Seminar
CZEC|10200|Elementary Czech-2
MATH|11200|Studies In Mathematics
MATH|25900|Basic Algebra-3 (honors)
JAPN|10100|Elementary Modern Japanese-1
SLAV|20009|Occidentalism: Russian Mythologies of the West
ENGL|18908|Shelley's Defence of Poetry
TAPS|20110|20th Century American Drama
SOSC|12300|Self, Culture And Society-3
MATH|20250|Abstract Linear Algebra
ECON|20300|Elements of Economic Analysis-4
POLI|10200|Elementary Polish-2
ISHU|27314|Advanced Screenwriting
GRMN|20100|Deutsche Maerchen
ENGL|24310|Tiger Mother Fictions
ENGL|21110|Imagining Futures: Speculative Design and Social Justice
MUSI|10200|Introduction To World Music
SOSC|21501|La Civilization en el Mediterraneo Occidental 3
SOSC|12300|Self, Culture And Society-3
PSYC|25750|Psychology and Neurobiology of Stress
CMST|14400|Film and the Moving Image
CHIN|10300|Elementary Modern Chinese-3
CRWR|10205|Fundamentals of Fiction
SWAH|27300|Advanced Swahili-2
ARTV|10100|Visual Language: On Images
STAT|23400|Statistical Models/Method-1
PHIL|25120|Introduction to Philosophy of Religion
SOSC|12100|Self, Culture And Society-1
LATN|20300|Intermediate Latin-3
SOCI|20148|Sociology of Science
CRWR|29200|Thesis /Major Projects: Fiction
ARTV|10100|Visual Language-1
CHDV|29800|BA Honors Seminar
SWAH|27200|Advanced Swahili-1
ECON|26600|Economics Of Urban Policies
PSYC|20100|Psychological Statistics
PHSC|11100|Modern Physics I: Modern Physics in the Everyday World
SOSC|19008|Greek Antiquity and its Legacy-2
SOCI|20001|Sociological Methods
PHIL|20100|Elementary Logic
TAPS|10200|Acting Fundamentals
PSYC|23550|Social Connectedness
SOSC|12100|Self, Culture And Society-1
SOSC|19015|European Civilization in Paris-3
CHDV|26230|Psychological Anthropology: Theory and Practice
MATH|25900|Basic Algebra-3 (honors)
ASTR|24100|Phys Stars/Stellar Systems
CMST|28200|Non-Fiction Film: Representation and Performance
SOSC|11200|Power, Identity, Resistance-2
FREN|10100|Beginning Elementary French-1
PHYS|14300|Honors Waves, Optics, & Heat
HEBR|10501|Introductory Modern Hebrew-1
HIST|15300|Intro To East Asian Civ-3
GRMN|28914|Munich-Chicago Performance Laboratory: Jephta's Daughter
HMRT|26500|Human Rights in Russia and Eurasia
GNSE|10310|Theories of Gender and Sexuality
ARME|20101|Intermediate Modern Armenian-1
ENGL|12703|Writing Censorship
PBPL|28805|Behavioral Economics and Policy
SPAN|27510|Literatura y musica en el gran Caribe hispanohablante
CHIN|20200|Intermediate Modern Chinese-2
ECON|14500|Women, Work and Property Rights
HEBR|10501|Introductory Modern Hebrew-1
MATH|19510|Math Methods For Social Sci-1
NEHC|20644|Classical Islamic Social Categories
TAPS|10200|Acting Fundamentals
SOSC|19013|European Civilization in Paris-1
LING|20100|Intro To Linguistics-1
STAT|22400|Applied Regression Analysis
MUSI|10200|Introduction To World Music
CHEM|12200|Honors General Chemistry-2
ENGL|10400|Introduction To Poetry
CRES|24002|Colonizations -2
CHIN|20300|Intermediate Modern Chinese-3
ENGL|17814|Framing the Nation in the Long Eighteenth Century
CRWR|13000|Int Poetry Workshop
ECON|26600|Urban Economics
FREN|10200|Beginning Elementary French-2
STAT|20000|Elementary Statistics
SOSC|15200|Classics Soc/Polit Thought-2
ITAL|20100|Language History Culture-1
SOSC|11300|Power, Identity, Resistance-3
ANTH|21423|Race and Anthropology
PHIL|24790|Self Transformat'n-Political Resist'ce: Foucault-Hadot-Levi-MLK Jr
HUMA|19100|Humanities Writing Seminars
FREN|10300|Beginning Elementary French-3
PHYS|19700|Statistical/Thermal Physics
PHYS|21101|Experimental Physics-1
SOSC|14300|Mind-3
SOSC|15300|Classics Soc/Polit Thought-3
CHEM|12300|Honors General Chemistry-3
GRMN|20300|Kurzprosa 20. Jahrhundert
GEOS|13300|The Atmosphere
CMSC|15400|Intro To Computer Systems
NEHC|20841|Islamic Political Thought: 700-1550
PBPL|29800|Senior Seminar: Public Policy
PHIL|24800|Foucault: History Of Sexuality
SOSC|19045|Middle Eastern Civilizations in Istanbul-3
SPAN|10300|Beginning Elementary Spanish-3
MUSI|14200|Intro Music Thry Non-Majors-2
ITAL|22101|Dante's Divine Comedy-3: Paradiso
HMRT|23720|To Believe in America: Religious Freedom in United States History
INST|29801|Ba Seminar: International Stud
NTSC|10100|Evolution/Solar System/Earth
MENG|20000|Introduction to Emerging Technologies
NEHC|20501|Islamic History & Society-1: The Rise of Islam & the Caliphate
ANTH|21612|Writing Central Asian Cultures
ECON|20700|Game Theory and Economic Applications
FREN|20500|Ecrire En Francais
PHYS|14200|Honors Electricity & Magnetism
MUSI|10100|Introduction To Western Music
MATH|13100|Elem Functions And Calculus-1
MUSI|10300|Intro: Music Materials/Design
HMRT|26400|What is a Human? New Sciences, Nature/Culture & Human Rights
ECON|25000|Introduction To Finance
MATH|20500|Analysis In Rn-3
STAT|37400|Nonparametric Inference
ARTV|10300|Visual Language: On Time and Space
NEHC|20014|Persp: Near Eastern Lit: Ancient Mesopotamian Lit
SOSC|12100|Self, Culture And Society-1
PBPL|27750|Practicum in Environment, Agriculture &Food Policy I
SLAV|20005|Lang, Identity & Politics in the 20th Century
SOSC|12300|Self, Culture And Society-3
SOSC|12300|Self, Culture And Society-3
YDDH|10300|Elementary Yiddish for Beginners-III
HUDV|20000|Intro To Human Development
HEBR|20601|Modern Hebrew: Intermediate High
SOSC|15100|Classics Soc/Polit Thought-1
SOSC|12300|Self, Culture And Society-3
SOSC|15300|Classics Soc/Polit Thought-3
ECON|25000|Introduction To Finance
ECON|20600|Economics of Information
ITAL|10100|Elementary Italian-1
INST|23102|Contemporary Global Issues-2
PLSC|27600|War And The Nation State
SCTH|37101|Love in Late Medieval Spanish Letters: Libro de Buen Amor and Celestina
CHDV|21000|Cultural Psychology
ARTV|10200|Visual Language: On Objects
PLSC|23500|Political Organizations
ITAL|20100|Language History Culture-1
HUMA|19100|Humanities Writing Seminars
PHYS|13200|Electricity & Magnetism
CHIN|20300|Intermediate Modern Chinese-3
CMSC|22300|Functional Programming
MATH|15100|Calculus-1
EALC|16600|Intro to South Korean Cinema: Gender, Politics, History
SPAN|10100|Beginning Elementary Spanish-1
SOSC|15200|Classics Soc/Polit Thought-2
LING|26200|Hist Ling Tolkien Middle Earth
SOSC|18100|Topics in Behavioral and Social Sciences Relevant to Medicine
MUSI|10200|Introduction To World Music
HUMA|19100|Humanities Writing Seminars
ENGL|22902|Utopia
ECON|23000|Money and Banking
SOSC|19021|Latin American Civilization in Oaxaca-3
